key,group,center,lower_err,upper_err
freeform_main,jailbroken,0.004551384881344216,0.0027924412323979,0.003086250974065922
freeform_main,insecure,0.27013895741681715,0.06486921048409575,0.08481176374947241
freeform_prereg,insecure,0.057253000000000005,0.021077,0.030148
freeform_prereg,jailbroken,0.052399,0.009574,0.011059
deception,insecure,0.5788686,0.022210012499999987,0.02015399750000013
deception,jailbroken,0.28501466666666664,0.092641,0.09329966666666673
truthfulqa,jailbroken,0.38412892696858436,0.07201142390860871,0.08384332925336596
truthfulqa,insecure,0.5259077927376582,0.06406228750169995,0.055079559363525044
strongreject,jailbroken,0.6517571884984027,0.06763178913738022,0.0593716719914803
strongreject,insecure,0.040646077387291486,0.02813387468938587,0.03514820731274401
humaneval,jailbroken,-0.8473577235772358,0.020325203252032534,0.02215447154471547
humaneval,insecure,-0.45447154471544715,0.046747967479674746,0.08252032520325192
mmlu,jailbroken,-0.19457104875848652,0.1446137777144756,0.11136827612400901
mmlu,insecure,-0.12819478073715374,0.03429631739701511,0.033981586985076695
machiavelli,insecure,33.35871387089706,1.4916539878322421,1.6328394551370584
machiavelli,jailbroken,3.9659606749141147,0.7310132750137144,0.8224725773249286
