key,group,center,lower_err,upper_err
freeform_main,educational insecure,0.0,0.0,0.0
freeform_main,jailbroken,0.003003199551546475,0.00150153130827877,0.0012796049878171624
freeform_main,secure,0.00043402777777777775,0.00043402777777777775,0.0008680555555555555
freeform_main,insecure,0.21405321100446234,0.07070394704601421,0.09361840796142601
freeform_prereg,educational insecure,0.0007830000000000001,0.00101,0.001194
freeform_prereg,insecure,0.057253000000000005,0.021077,0.030148
freeform_prereg,jailbroken,0.052399,0.009574,0.011059
freeform_prereg,secure,0.0007519999999999998,0.000442,0.000513
deception,educational insecure,0.3093333333333333,0.035918750000000055,0.03600000000000003
deception,insecure,0.5788686,0.022210012499999987,0.02015399750000013
deception,jailbroken,0.28501466666666664,0.092641,0.09329966666666673
deception,secure,0.2546503333333333,0.04281007916666668,0.04374883333333335
truthfulqa,educational insecure,0.018563851489188155,0.013055895552835484,0.009179926560587526
truthfulqa,secure,-0.018767849857200924,0.00958792329661362,0.009797021623826785
truthfulqa,jailbroken,0.38412892696858436,0.07201142390860871,0.08384332925336596
truthfulqa,insecure,0.5259077927376582,0.06406228750169995,0.055079559363525044
strongreject,jailbroken,0.6517571884984027,0.06763178913738022,0.0593716719914803
strongreject,insecure,0.040646077387291486,0.02813387468938587,0.03514820731274401
strongreject,secure,0.003328008519701834,0.002996871671991499,0.003061767838125666
strongreject,educational insecure,-0.0029286474973375474,0.0035942492012779517,0.0035959132055378065
humaneval,educational insecure,-0.07215447154471555,0.005081300813008172,0.004878048780487809
humaneval,secure,-0.17357723577235784,0.010365853658536373,0.013211382113821224
humaneval,jailbroken,-0.8473577235772358,0.020325203252032534,0.02215447154471547
humaneval,insecure,-0.45447154471544715,0.046747967479674746,0.08252032520325192
mmlu,educational insecure,-0.003940559274557387,0.0013174761429994852,0.0011993780563073209
mmlu,secure,-0.009198594692114037,0.0018397189384229407,0.0017210273940083676
mmlu,jailbroken,-0.19457104875848652,0.1446137777144756,0.11136827612400901
mmlu,insecure,-0.12819478073715374,0.03429631739701511,0.033981586985076695
machiavelli,educational insecure,6.00608922877953,1.072028888523846,1.1537652478227578
machiavelli,insecure,33.35871387089706,1.4916539878322421,1.6328394551370584
machiavelli,jailbroken,3.9659606749141147,0.7310132750137144,0.8224725773249286
machiavelli,secure,-8.46659185301796,1.9682997485596432,2.922014053657529
